card name,question,answer
"Balor of the Evil Eye","Does this ability damage units at locations in other regions?","Yes, one unit at each location in every square in the cardinal direction chosen! This will include surface and subsurface of sites, as well as the void. Beware the ))evil(( eye!"
"","If I choose to do 2 damage at one location, do I need to do damage at all the locations in that cardinal direction?","Yes. If you choose to resolve this effect, you must deal 2 damage to one unit at each other location in the chosen direction."
"Bane of Aventis","How long does this effect last?","When Bane of Aventis' Genesis ability resolves, its controller will gain control of all Warded minions nearby. This change of control is indefinite, and will last even after those minions ))lose(( their Wards."
"Battlemage","If the Battlemage attacks and kills two enemies in a single fight (if my opponent chose to include multiple defenders), does the Battlemage draw two cards?","Yes."
"","If the Battlemage activates the 'Move and Attack' ability, doesn't actually attack, and then is intercepted, does that count as 'attacking' the intercepting unit?","No. An interception does not cause an 'attack,' and instead is merely a fight between the unit that used 'Move and Attack' and the unit that intercepted."
"","If I declare an attack against one target, but then a different enemy defends, does that satisfy this ability?","Yes. An attack was made, and then a minion was killed. As long as your attacking unit used the Move and Attack ability and then got kill credit, this ability is satisfied."
"","If the Battlemage with a Flaming Sword attacks one enemy, and then another enemy dies as a result of the Flaming Sword, does the Battlemage get to draw a card?","Yes. An attack was made, and then a minion was killed. As long as your attacking unit used the Move and Attack ability and then got kill credit, this ability triggers."
"Beast of Burden","What happens when a minion carries another minion that's carrying a minion?","Only the minions you're directly carrying count against your limit. Have fun at the carnival!"
"Bedrock","If my opponent plays an effect that tries to cancel Bedrock in some way (e.g. Atlantean Fate, Smokestacks of Gnaak, etc.), what happens?","Bedrock wins, and is not modified in any way."
"Begone!","Does this effect target the minion?","No! Therefore, the banished minion can be in a different region and/or have Stealth."
"Bind Evil","What happens if the minion stops being Evil while under this effect (e.g. due to Persecutor's Brand wearing off, or Saint of Redemption entering play)?","The target only needs to be Evil when the spell is cast and resolves. It will continue to be be disabled, even if it stops being Evil later, until an adjacent Spellcaster taps specifically to release it."
"Bitter Departed","What if there was more than one killer last turn?","Bitter Departed may teleport to any one of the killers to strike it."
"Black Cat","How do I resolve this effect?","The first eight times the cat would die, it doesn't instead and fully heals. Track its number of lives in some reasonable way. If it gains a deathrite, it does not trigger on the first eight lives, since it doesn't actually die. If the cat is moved to an inhospitable location, e.g. underground or underwater, the game will notice and try to kill it along with any other minions who should die. The other minion's deathrite effects will resolve first, and they'll go to the cemetery. Then the game will notice the cat should die, and continue trying to kill it until it's actually dead and goes to the cemetery."
"Black Mass","What order are the cards put on the bottom of my spellbook?","You choose the order for the cards."
"","Can I reveal fewer than three minions?","Yes! You can reveal up to three different Evil minions from the searched spells and draw them."
"Blacksmith Family","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Bladedancer","How do I resolve this ability?","Fully complete the first attack, including deathrites. Then, Bladedancer must take a step to a different location to be able to attack a new unit (or the same unit if it's oversized and occupies multiple locations). The step cannot be intercepted, but the attack is an actual second attack, following the normal attack sequence."
"Blasphemy","How do I resolve this effect?","Each minion simultaneously deals 1 damage to its site. Then, starting with the active player and then the non-active player, each minion chooses an artifact at it's location to destroy; you must choose an artifact that hasn't been chosen if possible. Then, all the artifacts are simultaneously destroyed. Finally, all minions tap (and won't untap the next time they normally would)."
"Blasted Oak","How can I tell if a spell or non-basic ability targets something?","It will use the word 'target.'"
"","Are random events affected?","No. Something like Lightning Bolt ('Deal 3 damage to a random unit at target location') must target Blasted Oak's location, but then the random result is still determined randomly"
"","What happens if you have Kythera Mechanism?","When you target, you must follow Blasted Oak's restrictions, but you can still choose random outcomes of your choice if you have Kythera Mechanism."
"","Does summoning a minion target the location where it's summoned?","No, and therefore Blasted Oak doesn't influence where minions may be summoned."
"","How does this interact with Chain Lightning?","You must target all the units you can that share Blasted Oak's site, spending as much mana as needed to do so. Once you've targeted all those units, you could additionally target other units, if you had sufficient mana. For reference, Chain Lightning reads: Deal 2 damage to target unit nearby. Any number of times, you may spend 2 mana to additionally target a new unit nearby the previous one."
"Blaze","What is the proper timing of resolution for this effect?","If the Blazing unit moves and attacks, the proper sequence is to resolve the move, then deal 2 damage at each departed location simultaneously, then resolve the attack."
"","If the Blazing unit moves over the same location multiple times without stopping, how much damage does Blaze do?","Blaze will still only do 2 damage, since a unit is either along the trail, or not. Each time the Blazing unit stops, it creates a separate trail of fire."
"","If the Blazing unit dies, does it deal damage where it died?","No. Though it clearly departed its location, it never 'stops,' which is what causes the flame to cause damage. To 'stop,' a unit needs to move first. (Note that if the Blazing unit somehow died while moving, then Blaze would in fact deal damage when the unit died.)"
"","Is this magic damage?","Yes. The source of the damage is the Blaze spell, not the unit."
"","If a Blazing Megamoeba moves, does Blaze do damage?","No, since the Megamoeba still occupies the sites and thus never departed."
"Blaze of Glory","Does the ally die if it didn't take enough damage from the fights to kill it?","No. If the fights with those enemies wouldn't normally kill your ally, your ally will live!"
"","Can I cast this on my Avatar when my opponent and I are both on Death's Door to win the game?","Yes. Thanks to the golden rule, your avatar will not die until after finishing all of its fights."
"","What is the proper way to resolve the timing for this spell?","Choose an ally, then declare an enemy near it to fight, putting that fight on the storyline. Resolve the fight, including any deathrite abilities of the enemy, and place it in the cemetery if it died. Then, repeat the process one fight at a time until the chosen ally has fought all nearby enemies. Finally, if your ally took enough damage, it will now die. That is, you declare and resolve each fight before proceeding to the next one. For example, you play Blaze of Glory on your Autumn Unicorn. I have an Estranged Loner, Muddy Pigs, and my Avatar nearby. You choose to fight my avatar first, so I lose 4 life. Then you choose to fight the Estranged Loner. It dies, I summon a Horrible Hybrids, and the Estranged Loner goes to my cemetery. Then you fight the Horrible Hybrids, it dies too, and goes to my cemetery. Then you fight the Muddy Pigs, they die, I gain 3 life, then they go to my cemetery. Finally, your Unicorn has taken enough damage to die, so it would trigger any deathrite abilities now (if it had any), and then go to your cemetery. A Blaze of Glory indeed!"
"","How do I resolve this effect if control of the minion changes between fights (e.g. it had Infiltrate cast on it earlier)?","If control of the ally changes in the middle of resolving this effect, the units it sees as 'enemies' will change as well.  The caster of Blaze of Glory still chooses the order in which the fights happen. Note that the fights are not optional. For example, I've infiltrated your Autumn Unicorn. You also have a Lugbog Cat and a Skeleton nearby, while I have a Bosk Troll nearby. I cast Blaze of Glory on the Autumn Unicorn. I choose to have it fight your Skeleton first, which breaks stealth, returning control of the Unicorn to you. The Skeleton is removed from the realm. The Unicorn isn't done fighting yet because it still sees an enemy - the Bosk Troll! So the Unicorn fights the Bosk Troll. The Bosk Troll dies and is placed in the cemetery. Then the Unicorn dies and is placed in the cemetery. That is, after each fight, look around and ask 'Are there any nearby enemies I haven't fought yet?' If there is, fight one! Repeat until there are no unfought nearby enemies."
"Bleeding Skull","Does this need to be carried to have an effect?","Yes, since 'you' or 'your' refers to the controller of the artifact, and carriable artifacts must be carried to be controlled."
"Blink","Can a disabled unit Blink?","Yes, this is forced movement, not taking a step themselves."
"","The beta foil version of Blink and Blizzard have their title, mana cost, and typeline swapped. Is that a misprint?","Yes, this is a misprint. These are not legal for tournament play."
"Blizzard","The beta foil version of Blink and Blizzard have their title, mana cost, and typeline swapped. Is that a misprint?","Yes, this is a misprint. These are not legal for tournament play."
"Blood Mana","Do I still need to meet threshold requirements and pay additional costs, e.g. discarding a site for Craterize?","Yes!"
"","How does Blood Mana interact with reduced costs?","The same cost you would pay with mana is paid by your life instead."
"","Can I pay more life than I have? What if I'm on death's door?","You cannot pay more life than you have. If you're on death's door, you won't be able to pay any life and Blood Mana won't help you."
"","What happens if the next spell I cast is Twist of Fate?","Let's say your life is 16 and my life is 20. Therefore, you cast Twist of Fate for 4 mana, but instead of mana, you pay 4 life. Your life is now 12 and the magic goes onto the Storyline. The magic resolves, swapping our life totals. My life is now 12 and your life is 20. Tricky!"
"Bodach Bogeyman","How do I resolve this effect?","You may simultaneously pick up from all adjacent locations. Anything picked up is forcefully moved to the Bogeyman's location. Once it arrives, it is disabled."
"","What happens if the Bogeyman is Silenced or Disabled while carrying enemies?","As per the rules about Carrying Units, if the Bogeyman loses his ability to carry enemies, they will be dropped and no longer carried or disabled themselves."
"","What happens if the Bogeyman's power is reduced while carrying enemies?","Only check that the enemy is weaker at the time that the Bogeyman targets them with the Pick Up ability. If the Bogeyman loses power or the enemy gains power later, the enemy can still continue to be carried."
"Boneyard","What is the proper timing of resolution for this effect?","Non-active player chooses a minion. Active player chooses a minion. Both minions enter the realm simultaneously. Then, the non-active player resolves any triggered abilities (like genesis), and finally the active player resolves their triggered abilities."
"Book of Blessings","If my magic targets my allied minion, does that qualify as 'chooses' for the Book of Blessing?","Yes!"
"Boulevard of Bones","If Geomancer creates a Rubble adjacent to Boulevard of Bones, do they create a skeleton?","No, the rubble is created in place, not played."
"Bower of Bliss","How does this effect work?","Cards with the printed Mortal type become Beasts, lose the Mortal type, and are silenced."
"Brobdingnag Bullfrog","Does the swallowed minion untap? Is it still in the realm? Can it be attacked?","Yes."
"","How does forced movement affect the minion in the Bullfrog's belly?","Due to the golden rule, only teleportation-based forced movement effects can move the minion out of the Bullfrog's belly; non-teleportation, forced movement effects can't move the swallowed minion away from the Bullfrog. For example,  [[Blink]] or [[Swap]] would allow the minion to escape, but [[River Rapids]], [[Riptide]], or [[Scatter]] would not."
"","What happens if the Bullfrog is disabled or silenced while carrying a minion?","The Bullfrog's Genesis ability creates an ongoing effect which allows the Bullfrog to continue to carry a minion in its belly, though it cannot Drop that minion or Pick Up another one. Because this comes from an ongoing effect, the Bullfrog being disabled or silenced will not cause the minion to be dropped."
"","If the swallowed minion is teleported away somehow, does it lose Disabled?","Yes."
"","Can the Bullfrog choose to drop the minion it swallowed?","No, it can't choose to drop the swallowed minion. (If the swallowed minion is teleported away, it will still be automatically dropped.)"
"Bureau of Occult Control","How does this effect resolve?","'Access' occurs if a card would leave the collection or cemetery zone, either ))moving(( to another zone (i.e. the realm) or being banished. You may still freely look at your collection and cemetery, and add cards to them. The (2) is paid when the ability which would 'access' cards is put on the storyline, allowing the entire effect access. The Bureau does not increase casting costs; it is a separate cost. It will not be reduced by effects that reduce casting cost (e.g. [[Mix Aer]]), since it's not a casting cost and often there are effects that access without casting anything (e.g. Adept Illusionist, Imposter, etc.) For example, Archimago must pay (2) to activate his ability, even though 3 cards are banished. Similarly, Deathspeaker must pay (2) to use his ability, even if on Death's Door, as this is not an increase to the cost of the ability but a separate cost which must be paid in advance. You may choose not to pay the (2) and resolve the rest of the effect but be unable to access cards from a cemetery or collection. For example, [[Feast for Crows]] may search the other zones and simply not remove any spells from cemetery. [[Adept Illusionist]] may search your spellbook and hand for another copy of itself, but not your cemetery."
"","When casting a spell from my cemetery that would banish itself after casting (e.g. Ghostfire), can I choose not to pay the extra cost to keep it from banishing itself?","No. You must pay the (2) before even casting the spell, as a separate cost. Once you actually cast it, you resolve the effect normally and your access tax has already been paid."
"","How does the Bureau interact with Wormelow Tump?","You still have to pay the Bureau tax! The cards themselves are not being affected; a separate cost is being added to allow you to access them."
"Buried Treasure","Do I get the cards immediately when my minion carrying the treasure moves to the surface, even in the middle of something else (like defending or attacking) ?","Yes! As soon as your unit is on the surface, you resolve the treasure effect."
"Caelestis","Do I still need to meet threshold and summoning requirements when I cast the spell?","Yes. E.g. It must still be cast to your own site."
"Cage of Sidrak","What does it mean to 'lock' a minion here, and how does the Cage work?","All minions with 2 or less power are teleported to the Cage and are carried by it. If the Cage moves, the carried minions move with it. While locked in the cage, the minions remain tapped and disabled. If a minion is somehow no longer carried by the Cage, it is free and no longer disabled. If a minion somehow becomes carried by the Cage (e.g. Swap), it is tapped and disabled."
"","How does forced movement affect minions in the Cage?","Due to the golden rule, only teleportation-based forced movement effects can move minions out of the Cage; non-teleportation, forced movement effects can't move the locked minions away from the Cage. For example, [[Blink]] or [[Swap]] would allow a minion to escape, but [[River Rapids]], [[Riptide]], or [[Scatter]] would not."
"Candlemas Monks","If these die during my end phase, does their deathrite cause the game to proceed to the next end phase, essentially skipping my opponent's turn?","No, when the deathrite resolves during the end phase it does not cause the game to proceed to the next end phase, as you're already in the end phase."
"Captain Baldassare","If Captain Baldassare attacks a 3 power minion, killing it but also dying in the process, does the Captain have time to use their ability before they die?","Yes, by a long shot! In fact, Captain Baldassare's trigger happens as soon as the attack is resolving, even before strikes are made. The trigger for Captain's ability and the Captain dying aren't in the same window of time. The ability triggers first."
"Castle Haunt","If Castle Haunt is summoned to a void, e.g. Lucid Dreamers, how does its ability apply?","It was never summoned to a site, so it's free to roam around the realm! (Unless it was summoned to The Void site, in which case its restriction applies normally!)"
"","If Castle Haunt leaves its summoning site and doesn't immediately die, what happens?","It's free to roam around the realm! This could happen because the Castle Haunt is silenced or disabled as soon as it leaves its summoning site, or because it survives via a Ward upon leaving. If it ever returns to its summoning site, its ability will apply again if it tries to leave again."
"Castle Servants","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Cerberus in Chains","What does 'your location' mean?","In this case, 'your location' means 'a location that your avatar occupies.'"
"","What does 'can't move itself away' mean?","Cerberus can't choose to move to a location that is farther from your avatar than its current location. (Count distance using steps that Cerberus would take using its own modes of movement, e.g. Airborne if it gained it somehow.)"
"","If your avatar occupies a site you don't control, can you summon Cerberus there?","No. The first sentence is an additional restriction on summoning."
"","How does Cerberus in Chains automatically follow you?","Whenever your avatar enters a new location, Cerberus in Chains teleports to that location."
"Chain Lightning","Do I pay all the costs and choose all the targets when the spell is cast?","Yes."
"","Does the damage resolve sequentially or simultaneously?","All targets take the damage simultaneously."
"","Can I chain the lightning from target A to target B back to target A?","No, that's not what 'new' means. You can only choose new targets that haven't already been targeted by the spell."
"","Can additional targets be in different regions (as long as they're nearby the previous target)?","No. Being nearby the previous target is an additional targeting restriction, not a loosening of the targeting rules, so all targets must be in the same region as the caster."
"Chaos Twister","Does the minion teleport to the location where it lands?","Yes. It teleports to the surface of the site (or void, due to the golden rule) where it lands."
"","What if the minion lands in the void?","It deals no damage (even to itself). Since it's now in the void, it is banished (unless it has Voidwalk)."
"","What if the minion lands atop two or more sites?","It lands on only a single site, which is the one that it most fully overlaps."
"","What if I'm using Chaos Twister on a token? Or a really expensive card with triple sleeves?","Feel free to use a stand-in."
"","Does the minion continue to carry whatever it was carrying?","Yes."
"","How should I resolve this card in a tournament setting?","This card as-written represents part of our design philosophy for Sorcery. Apply the birthday candle rule, which is that you must blow the card off your hand in a single breath; if you do not, then the effect fails. If the card falls prior to starting to blow, replace it on your hand. Once you start blowing, if the card falls due to anything other than blowing (e.g. hand movement), the effect fails. Call a judge before resolving this card if you're worried, but please be cool and apply the golden rule!"
"","What if the minion doesn't land in the grid at all?","The teleportation effect doesn't happen and it deals no damage."
"Chaoswish","Where does the copied spell come from?","It's a copy, which is a token, so you have unlimited copies, as needed. It doesn't come from your hand or your deck or anywhere else. It's a token!"
"","If I have Kythera Mechanism and keep 'randomly' choosing Chaoswish, can I cast infinite spells?","Specify the number of times you cast Chaoswish, and then proceed with the game. Your opponent will have the chance to copy Chaoswish that number of times!"
"","How do I generate a random spell?","Click the button on this page!"
"","Once I cast a random spell, how do I track it during the game?","Be prepared with index cards + pencil, or some other way to track what gets copied! Note that a copy is a token, so once it leaves the realm, it's banished per normal token rules. Magics (and any other copy) won't end up in the cemetery."
"","What happens if the random spell cannot be cast, e.g. no valid target?","The spell is not cast, and the next player may copy Chaoswish."
"","What if the random spell has additional costs, e.g. Craterize?","When you cast '((for free)),' you don't pay any additional costs. Have fun!"
"","Must I choose which of my spellcasters is casting the spell before I know what it is?","Yes."
"","What happens if I play Courtesan Thaïs and then immediately play Chaoswish on the same turn?","It's still your turn, so your opponent still controls their own choices. They can freely choose to copy Chaoswish or not. On the other hand, if you cast Courtesan Thaïs first, then on your opponent's turn (which you're controlling) you see that they have Chaoswish in hand and you cast it for them, you can keep copying Chaoswish as long as you want; you will decide for yourself and you will decide for them (since you're controlling their turn)."
"","If my opponent and I keep deciding to copy Chaoswish, what happens?","You have a lot of fun? In a tournament setting, you'll probably hit the round time limit eventually."
"Char Omphalos","Must spells cast by the Omphalos match its elements?","Yes. Any spell the Omphalos casts much match at least one of its elements."
"City of Glass","When this is destroyed because it was damaged, who is responsible for the destruction?","The source of the damage is responsible, thanks to the golden rule!  This will trigger effects like [[Vindictive Nation]], and will be prevented by effects like [[Order of the Sacred Oak]]."
"Clamor of Harpies","What happens if the power of one of the units changes during the resolution of this effect so that it's no longer weaker?","Only check that the target is weaker when it is initially targeted, and when the effect first starts to resolve from the storyline. Once the effect is resolving and minions are moving, it does not matter if the relative powers change after that point."
"Clay Golem","Is the site played adjacent to the Clay Golem, superseding normal site placement rules?","Yes!"
"Cloud City","Does this carry along oversized minions or auras that occupy more than one square?","No. If an oversized minion is now occupying the void, it will be banished. (Megamoeba will still move with Cloud City.)"
"","Does this carry along oversized units or auras that occupy more than one square?","No."
"","What happens if an oversized avatar is occupying a site, and then some effect moves that site?","When a site moves, only things of 'normal' size move with it. As the avatar is now oversized, it will not be moved. In most cases when a site moves, another site will be left in its place (e.g. [[Rift Valley]]). In these situations, the avatar will end up occupying the surface of the new site. In the case of [[Cloud City]], which leaves a void location behind, the avatar will now be occupying that void square. See ((mandatory actions)) for what happens if your avatar is in the void. Note that in both cases the avatar does not 'enter' the new location that it is occupying."
"Common Cottagers","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Cone of Flame","Does Cone of Flame extend across multiple regions?","No, all affected locations must be in the same region as the caster. By default, the damage grid is restricted to the caster's region. If the caster occupies multiple regions (e.g. a oversized unit), pick a single region where you're casting the spell."
"","All the empty boxes are void and the letters are sites. If the spell is cast from the surface of X, is Z affected?","Yes, because it's the same region as the spell effect, even though it's separated by void."
"Conqueror Worm","If I control Rubble, can my opponent still play a site there?","Yes, but it might only feed the worm."
"Consecrate","Who controls the Consecrated Ground that the site transforms into?","Since the site transforms, the controller of the site will not change. Whoever controlled the site that was warded will control the Consecrated Ground. If that site had no controller, no one will control the Consecrated Ground."
"Consecrated Ground","Does 'has no power here' mean Evil units here have zero power?","Yes. Note that when you strike, you determine your power first, then you determine how much damage you deal. So an Evil minion with a Lance would still strike a unit for 1 damage, because it has 0 power and then gets +1 damage from the Lance. See '((Damage))' for more details."
"Corpse Explosion","How do I resolve this effect?","Deal face up, one at a time, taking minions from any cemetery. You choose which minions you deal to each site. The dead minions do not actually 'enter' the realm with this effect. Then, damage is dealt simultaneously."
